Log della sequenza DWIN generato il: 20/10/2025 15:46:04
Totale messaggi: 65798
--- INIZIO SEQUENZA ---
Msg 00217: ID=500, Len=8, Data=[00 01 5F 39 6D AA 0B 39]
Msg 00218: ID=500, Len=8, Data=[07 FE 15 E4 FF 00 9F 7A]
Msg 00219: ID=500, Len=8, Data=[0E B1 15 8B BF 32 B6 C1]
Msg 00220: ID=500, Len=8, Data=[15 FD C5 EB F8 9F F0 FC]
Msg 00221: ID=500, Len=8, Data=[1C EA E4 71 24 2B B5 14]
Msg 00222: ID=500, Len=8, Data=[23 28 F6 EF 4E A0 06 C7]
Msg 00223: ID=500, Len=8, Data=[2A 12 42 BB 51 42 8F 6E]
Msg 00224: ID=500, Len=8, Data=[31 F4 EA 28 A0 02 8A 28]
Msg 00225: ID=500, Len=8, Data=[38 A0 02 8A 28 A0 02 8A]
Msg 00226: ID=500, Len=8, Data=[3F 28 A0 02 8A 28 A0 02]
Msg 00227: ID=500, Len=8, Data=[46 8A 28 A0 0C 94 FB 8B]
Msg 00228: ID=500, Len=8, Data=[4D F4 A5 A4 50 42 2E 47]
Msg 00229: ID=500, Len=8, Data=[54 6A 5A 00 28 A2 8A 00]
Msg 00230: ID=500, Len=8, Data=[5B 28 A2 8A 00 28 A2 8A]
Msg 00231: ID=500, Len=8, Data=[62 00 28 A2 8A 00 28 A2]
Msg 00232: ID=500, Len=8, Data=[69 8A 00 28 A2 8A 00 28]
Msg 00233: ID=500, Len=8, Data=[70 A2 8A 00 28 A2 8A 00]
Msg 00234: ID=500, Len=8, Data=[77 28 A2 8A 00 28 A2 8A]
Msg 00235: ID=500, Len=8, Data=[7E 00 28 A2 8A 00 28 A2]
Msg 00236: ID=500, Len=8, Data=[85 8A 00 28 A2 8A 00 28]
Msg 00237: ID=500, Len=8, Data=[8C A2 8A 00 28 A2 8A 00]
Msg 00238: ID=500, Len=8, Data=[93 28 A2 8A 00 28 A2 8A]
Msg 00239: ID=500, Len=8, Data=[9A 00 28 A2 8A 00 28 A2]
Msg 00240: ID=500, Len=8, Data=[A1 8A 00 28 A2 8A 00 28]
Msg 00241: ID=500, Len=8, Data=[A8 A2 8A 00 28 A2 8A 00]
Msg 00242: ID=500, Len=8, Data=[AF 28 A2 8A 00 28 A2 8A]
Msg 00243: ID=500, Len=8, Data=[B6 00 28 A2 8A 00 28 A2]
Msg 00244: ID=500, Len=8, Data=[BD 8A 00 28 A2 8A 00 28]
Msg 00245: ID=500, Len=8, Data=[C4 A2 8A 00 28 A2 8A 00]
Msg 00246: ID=500, Len=8, Data=[CB 28 A2 8A 00 28 A2 8A]
Msg 00247: ID=500, Len=8, Data=[D2 00 28 A2 8A 00 28 A2]
Msg 00248: ID=500, Len=8, Data=[D9 82 70 28 00 AA D7 37]
Msg 00249: ID=500, Len=8, Data=[E0 82 1E 13 0C FF 00 A0]
Msg 00250: ID=500, Len=8, Data=[E7 A8 AE 6F B3 95 8F A7]
Msg 00251: ID=500, Len=8, Data=[EE F7 BF 00 00 00 00 00]
Msg 00252: ID=500, Len=8, Data=[F1 F0 82 D0 00 00 00 00]
Msg 00253: ID=500, Len=8, Data=[00 C2 A9 50 03 9D CB B1]
Msg 00254: ID=500, Len=8, Data=[07 66 39 27 BD 36 A6 4B]
Msg 00255: ID=500, Len=8, Data=[0E 66 6F BD F2 8F 7E B5]
Msg 00256: ID=500, Len=8, Data=[15 3A 42 91 F6 C9 F5 34]
Msg 00257: ID=500, Len=8, Data=[1C 01 5A 38 19 F9 E8 3D]
Msg 00258: ID=500, Len=8, Data=[23 4D 58 48 11 07 4D C7]
Msg 00259: ID=500, Len=8, Data=[2A DE A4 A0 90 A3 27 81]
Msg 00260: ID=500, Len=8, Data=[31 40 01 38 15 56 6B 82]
Msg 00261: ID=500, Len=8, Data=[38 F9 55 E1 7D 7D 69 66]
Msg 00262: ID=500, Len=8, Data=[3F 9C B1 20 01 8A 82 80]
Msg 00263: ID=500, Len=8, Data=[46 0A 28 A2 80 0A 28 A2]
Msg 00264: ID=500, Len=8, Data=[4D 80 0A 29 40 24 80 06]
Msg 00265: ID=500, Len=8, Data=[54 49 AB B6 7A 73 CB 2A]
Msg 00266: ID=500, Len=8, Data=[5B 6F 1B 46 7A 77 A0 09]
Msg 00267: ID=500, Len=8, Data=[62 ED 90 43 12 2F 3B DB]
Msg 00268: ID=500, Len=8, Data=[69 9D A0 72 4F D2 AE 45]
Msg 00269: ID=500, Len=8, Data=[70 65 24 84 19 3F 76 BF]
Msg 00270: ID=500, Len=8, Data=[77 DD 07 2C 7F 1E DF AF]
Msg 00271: ID=500, Len=8, Data=[7E E1 56 E0 B6 4B 65 C2]
Msg 00272: ID=500, Len=8, Data=[85 0E 4F 56 3C 93 F5 35]
Msg 00273: ID=500, Len=8, Data=[8C 25 00 36 38 92 15 DA]
Msg 00274: ID=500, Len=8, Data=[93 8A 14 7B 77 A7 51 45]
Msg 00275: ID=500, Len=8, Data=[9A 00 14 51 45 00 14 51]
Msg 00276: ID=500, Len=8, Data=[A1 45 00 14 51 45 00 14]
Msg 00277: ID=500, Len=8, Data=[A8 51 45 00 14 51 45 00]
Msg 00278: ID=500, Len=8, Data=[AF 14 51 45 00 15 1D C5]
Msg 00279: ID=500, Len=8, Data=[B6 C4 76 90 3C D3 38 8E]
Msg 00280: ID=500, Len=8, Data=[BD 34 19 66 3D AA 3D 43]
Msg 00281: ID=500, Len=8, Data=[C4 50 87 4C B5 69 E7 6D]
Msg 00282: ID=500, Len=8, Data=[CB A8 38 00 75 63 E8 3D]
Msg 00283: ID=500, Len=8, Data=[D2 EB CF F5 8D 76 E3 58]
Msg 00284: ID=500, Len=8, Data=[D9 71 E6 12 90 83 95 88]
Msg 00285: ID=500, Len=8, Data=[E0 1E 07 E9 CF 1E BE FD]
Msg 00286: ID=500, Len=8, Data=[E7 33 8A 00 EA 95 D9 3E]
Msg 00287: ID=500, Len=8, Data=[EE E9 C5 00 00 00 00 00]
Msg 00288: ID=500, Len=8, Data=[F1 F0 83 48 00 00 00 00]
Msg 00289: ID=500, Len=8, Data=[00 4C B3 2B 7D EF 94 FA]
Msg 00290: ID=500, Len=8, Data=[07 F6 AA F4 50 05 BE A3]
Msg 00291: ID=500, Len=8, Data=[0E 23 91 EA 28 AA CA C5]
Msg 00292: ID=500, Len=8, Data=[15 0E 41 C1 A9 56 70 7E]
Msg 00293: ID=500, Len=8, Data=[1C F0 C1 F5 5A 00 92 8A]
Msg 00294: ID=500, Len=8, Data=[23 06 18 64 10 47 B5 14]
Msg 00295: ID=500, Len=8, Data=[2A 00 51 45 14 00 51 45]
Msg 00296: ID=500, Len=8, Data=[31 14 00 51 45 14 00 51]
Msg 00297: ID=500, Len=8, Data=[38 45 14 00 51 45 14 00]
Msg 00298: ID=500, Len=8, Data=[3F 51 45 14 00 51 45 14]
Msg 00299: ID=500, Len=8, Data=[46 00 51 45 14 00 51 45]
Msg 00300: ID=500, Len=8, Data=[4D 14 00 51 45 14 00 51]
Msg 00301: ID=500, Len=8, Data=[54 45 14 00 51 45 14 00]
Msg 00302: ID=500, Len=8, Data=[5B 51 45 14 00 51 45 14]
Msg 00303: ID=500, Len=8, Data=[62 00 51 45 14 00 51 45]
Msg 00304: ID=500, Len=8, Data=[69 14 00 51 45 14 00 51]
Msg 00305: ID=500, Len=8, Data=[70 45 14 00 51 45 14 00]
Msg 00306: ID=500, Len=8, Data=[77 51 45 14 00 51 45 14]
Msg 00307: ID=500, Len=8, Data=[7E 00 51 45 14 00 51 45]
Msg 00308: ID=500, Len=8, Data=[85 14 00 51 45 14 00 51]
Msg 00309: ID=500, Len=8, Data=[8C 45 14 00 51 45 14 00]
Msg 00310: ID=500, Len=8, Data=[93 51 45 14 00 51 45 14]
